,noisy_signal,filtered
2020-06-01 00:00:00,-0.017641033566300365,-0.011042629466182582
2020-06-01 00:05:00,0.0126891336660979,-0.006356744458108812
2020-06-01 00:10:00,0.24646353351282552,-0.0016157504286748638
2020-06-01 00:15:00,0.39883970737692176,0.003179583504525987
2020-06-01 00:20:00,0.07167869245071445,0.008028471347957982
2020-06-01 00:25:00,-0.09877893252512085,0.012930111161463198
2020-06-01 00:30:00,-0.156927950609341,0.017883685809460394
2020-06-01 00:35:00,-0.3549452992076225,0.022888363627784063
2020-06-01 00:40:00,-0.23115841135255608,0.027943299147719293
2020-06-01 00:45:00,0.13905503346713363,0.03304763399302804
2020-06-01 00:50:00,0.21753498988768116,0.03820049798522793
2020-06-01 00:55:00,0.04469984794777371,0.0434010103892836
2020-06-01 01:00:00,0.13602986285306518,0.04864828118068459
2020-06-01 01:05:00,0.18641805113056578,0.053941412253599774
2020-06-01 01:10:00,0.054241653368815146,0.0592794985509785
2020-06-01 01:15:00,0.1994609091244514,0.0646616291188921
2020-06-01 01:20:00,0.020135450640868927,0.0700868880882748
2020-06-01 01:25:00,0.5222294131983133,0.07555435558781724
2020-06-01 01:30:00,0.09695919467421417,0.08106310857496117
2020-06-01 01:35:00,0.2290078540790979,0.0866122215457129
2020-06-01 01:40:00,-0.1537309271938561,0.09220076709664712
2020-06-01 01:45:00,0.09844452851513114,0.09782781637398053
2020-06-01 01:50:00,0.30265588710723235,0.10349243948912518
2020-06-01 01:55:00,0.05019655982445137,0.10919370595070521
2020-06-01 02:00:00,0.24992537513749957,0.11493068509714319
2020-06-01 02:05:00,0.2234928063542382,0.1207024464888612
2020-06-01 02:10:00,0.013170438046399807,0.12650806023895889
2020-06-01 02:15:00,0.33201200804551956,0.13234659728269227
2020-06-01 02:20:00,-0.043857084137783026,0.13821712959823187
2020-06-01 02:25:00,-0.017743461168635788,0.14411873040086812
2020-06-01 02:30:00,0.07097127338248918,0.15005047434828397
2020-06-01 02:35:00,-0.04143379937554517,0.15601143781080734
2020-06-01 02:40:00,0.16153751222970253,0.16200069925070024
2020-06-01 02:45:00,0.4435525334140612,0.16801733971553703
2020-06-01 02:50:00,0.2511542882661978,0.17406044340019064
2020-06-01 02:55:00,0.2726970414275134,0.180129098192574
2020-06-01 03:00:00,0.19805891116520447,0.18622239612975297
2020-06-01 03:05:00,0.5983271369750586,0.19233943374374235
2020-06-01 03:10:00,0.31771310230602545,0.19847931229618837
2020-06-01 03:15:00,-0.19823137577299776,0.20464113788131028
2020-06-01 03:20:00,0.17052795200348297,0.21082402140468998
2020-06-01 03:25:00,0.06398327474077983,0.2170270785289949
2020-06-01 03:30:00,-0.17401677472267996,0.22324942970598508
2020-06-01 03:35:00,0.04337808280078062,0.2294902003677242
2020-06-01 03:40:00,0.46032115583464567,0.23574852131037924
2020-06-01 03:45:00,1.0668328318807325,0.2420235292509315
2020-06-01 03:50:00,0.5376184068610517,0.24831436741444238
2020-06-01 03:55:00,0.565572732353337,0.25462018591719304
2020-06-01 04:00:00,0.17566324749768109,0.2609401417820489
2020-06-01 04:05:00,0.11014239384407556,0.2672733986034195
